iter	Passed	Remaining
0	7	7668
1	13	6784
2	19	6487
3	25	6411
4	31	6230
5	38	6341
6	43	6188
7	48	6027
8	53	5939
9	58	5833
10	63	5702
11	68	5638
12	72	5534
13	77	5473
14	82	5418
15	87	5382
16	91	5315
17	96	5244
18	100	5214
19	105	5167
20	109	5120
21	114	5103
22	119	5082
23	124	5066
24	129	5038
25	133	5019
26	138	4986
27	142	4958
28	147	4939
29	152	4940
30	157	4937
31	162	4908
32	167	4904
33	171	4879
34	176	4877
35	181	4871
36	186	4854
37	191	4839
38	196	4844
39	201	4845
40	206	4836
41	211	4826
42	217	4829
43	222	4825
44	227	4818
45	232	4828
46	238	4828
47	243	4836
48	248	4825
49	252	4806
50	257	4791
51	262	4778
52	267	4773
53	272	4766
54	276	4758
55	281	4744
56	285	4725
57	289	4706
58	294	4702
59	298	4683
60	302	4664
61	307	4644
62	311	4638
63	316	4628
64	321	4618
65	326	4616
66	331	4610
67	335	4602
68	340	4599
69	345	4591
70	350	4579
71	354	4574
72	360	4581
73	365	4578
74	370	4569
75	375	4571
76	380	4559
77	385	4553
78	390	4547
79	394	4542
80	399	4537
81	404	4525
82	409	4527
83	414	4521
84	419	4512
85	424	4510
86	428	4500
87	433	4492
88	438	4489
89	443	4484
90	447	4471
91	452	4469
92	457	4464
93	462	4456
94	466	4446
95	471	4442
96	476	4439
97	481	4429
98	486	4425
99	491	4421
100	495	4414
101	500	4405
102	505	4400
103	509	4393
104	514	4384
105	519	4381
106	524	4375
107	528	4368
108	534	4365
109	539	4362
110	543	4355
111	548	4351
112	554	4348
113	558	4344
114	563	4333
115	568	4333
116	573	4330
117	579	4330
118	584	4327
119	588	4318
120	593	4309
121	597	4297
122	602	4298
123	607	4291
124	611	4282
125	617	4281
126	621	4275
127	626	4266
128	631	4262
129	636	4259
130	640	4251
131	645	4245
132	651	4244
133	655	4237
134	659	4227
135	664	4221
136	668	4213
137	674	4210
138	678	4205
139	683	4200
140	688	4191
141	692	4184
142	697	4179
143	701	4170
144	706	4163
145	710	4156
146	715	4151
147	720	4147
148	725	4143
149	731	4143
150	736	4138
151	741	4135
152	747	4135
153	752	4132
154	757	4129
155	764	4133
156	769	4130
157	774	4128
158	780	4130
159	786	4131
160	792	4128
161	797	4125
162	802	4121
163	807	4117
164	812	4112
165	817	4105
166	821	4099
167	826	4094
168	831	4087
169	835	4080
170	842	4082
171	851	4100
172	859	4110
173	866	4115
174	873	4116
175	880	4123
176	887	4126
177	896	4141
178	904	4147
179	910	4149
180	915	4143
181	921	4140
182	932	4162
183	941	4174
184	946	4168
185	950	4161
186	955	4156
187	961	4154
188	966	4148
189	973	4148
190	978	4145
191	984	4141
192	989	4136
193	994	4131
194	999	4124
195	1004	4121
196	1009	4115
197	1014	4107
198	1019	4101
199	1023	4095
200	1028	4088
201	1033	4081
202	1037	4074
203	1042	4066
204	1046	4058
205	1051	4051
206	1055	4044
207	1059	4034
208	1064	4027
209	1068	4021
210	1073	4015
