iter	MultiClass
0	1.065987468
1	1.043516886
2	1.031564768
3	1.02198072
4	1.01461072
5	1.002610142
6	1.000009724
7	0.9958017816
8	0.9908600326
9	0.9888520125
10	0.9873522929
11	0.98560219
12	0.9833849004
13	0.9814793545
14	0.9794981904
15	0.9784480008
16	0.9767879305
17	0.975644014
18	0.9743892531
19	0.9682658303
20	0.967439198
21	0.966466966
22	0.9650039897
23	0.9646196196
24	0.9641560153
25	0.9610909575
26	0.9603443097
27	0.9597838583
28	0.956783064
29	0.9561992416
30	0.9555422561
31	0.9550967185
32	0.9546407028
33	0.9540398299
34	0.9533357225
35	0.9523969308
36	0.951993049
37	0.950992402
38	0.949429844
39	0.9490351718
40	0.9485678745
41	0.9483047373
42	0.9477635362
43	0.9472263093
44	0.9469428122
45	0.9466051492
46	0.9450213813
47	0.9445996662
48	0.9442759423
49	0.9437013035
50	0.942896762
51	0.9424850996
52	0.9420543667
53	0.9418006201
54	0.9412871853
55	0.9411013732
56	0.9404749667
57	0.9398891952
58	0.9390721429
59	0.9383873534
60	0.9381143377
61	0.9377021625
62	0.937312755
63	0.9370451945
64	0.936317127
65	0.9357500454
66	0.9349436777
67	0.9345698597
68	0.93404932
69	0.9338608435
70	0.9332269337
71	0.9326500565
72	0.932192759
73	0.9316716107
74	0.9310627011
75	0.9307490808
76	0.9302385241
77	0.929891408
78	0.9295728059
79	0.929128206
80	0.9283614622
81	0.9278588749
82	0.9274458613
83	0.9267334804
84	0.9259544914
85	0.9254203233
86	0.9250384252
87	0.9246675289
88	0.9240794289
89	0.923326485
90	0.9228910621
91	0.9224968619
92	0.9221263111
93	0.9215778142
94	0.9212542774
95	0.9208547598
96	0.9206482674
97	0.9201651183
98	0.9196571221
99	0.9194247567
100	0.9191159553
101	0.9188151909
102	0.9185624877
103	0.9181687717
104	0.9177773051
105	0.9172654482
106	0.9167130106
107	0.9164060935
108	0.9159226099
109	0.9156183275
110	0.9152495294
111	0.9150529871
112	0.9147946165
113	0.9146686566
114	0.9142289131
115	0.9134785767
116	0.9130490653
117	0.9129081072
118	0.9127245463
119	0.9123659448
120	0.9118790885
121	0.9117871323
122	0.9113012777
123	0.9108640835
124	0.9104690735
125	0.9102624379
126	0.9098819572
127	0.9097415283
128	0.9095043276
129	0.9091817674
130	0.9087750432
131	0.9084856976
132	0.9083530926
133	0.9077491948
134	0.9072712564
135	0.9068997464
136	0.9065700423
137	0.9060064911
138	0.9056978606
139	0.9051866242
140	0.9049927296
141	0.9048826234
142	0.9042200777
143	0.9038652059
144	0.9033170795
145	0.9031865823
146	0.9029004638
147	0.9024547541
148	0.9021712875
149	0.9018926872
150	0.9015473305
151	0.9012026964
152	0.9005485593
153	0.9003838042
154	0.8998989735
155	0.8997388079
156	0.8995568005
157	0.8992574189
158	0.8987706405
159	0.8983353497
160	0.8978859347
161	0.897378683
162	0.8970940206
163	0.8967818209
164	0.8965882599
165	0.8962499417
