iter	Passed	Remaining
0	6	1007
1	10	847
2	16	899
3	23	961
4	30	985
5	35	940
6	40	914
7	45	891
8	50	881
9	55	871
10	62	887
11	67	868
12	72	857
13	81	886
14	89	899
15	95	898
16	100	882
17	105	867
18	109	849
19	114	834
20	118	820
21	124	811
22	129	807
23	134	796
24	139	786
25	144	777
26	148	765
27	153	754
28	158	747
29	162	734
30	166	725
31	170	715
32	175	705
33	179	698
34	184	689
35	188	680
36	192	671
37	196	663
38	201	656
39	205	647
40	210	641
41	214	632
42	218	625
43	223	620
44	227	611
45	230	601
46	234	594
47	238	587
48	243	581
49	247	574
50	252	568
51	256	561
52	259	553
53	263	545
54	267	539
55	271	533
56	275	526
57	279	519
58	283	513
59	286	506
60	290	499
61	294	493
62	298	487
63	302	482
64	306	475
65	309	469
66	314	464
67	318	458
68	321	452
69	326	447
70	331	442
71	335	437
72	340	433
73	344	428
74	348	423
75	352	417
76	356	411
77	359	406
78	364	401
79	369	397
80	374	392
81	378	387
82	384	384
83	389	380
84	395	376
85	401	373
86	406	369
87	412	365
88	417	361
89	422	356
90	427	352
91	433	348
92	437	343
93	442	339
94	448	334
95	453	330
96	458	326
97	464	322
98	469	317
99	473	312
100	478	308
101	483	303
102	488	298
103	493	293
104	497	289
105	502	284
106	506	279
107	510	274
108	514	269
109	518	264
110	522	259
111	526	254
112	530	249
113	534	243
114	538	238
115	543	234
116	547	229
117	550	224
118	555	219
119	559	214
120	563	209
121	567	204
122	572	200
123	577	195
124	580	190
125	584	185
126	589	181
127	592	176
128	596	171
129	599	166
130	604	161
131	607	156
132	611	151
133	614	146
134	618	142
135	622	137
136	626	132
137	630	127
138	633	123
139	637	118
140	641	113
141	645	109
142	649	104
143	654	99
144	658	95
145	663	90
146	667	86
147	672	81
148	676	77
149	679	72
150	684	67
151	688	63
152	692	58
153	696	54
154	700	49
155	704	45
156	709	40
157	714	36
158	719	31
159	724	27
160	728	22
161	734	18
162	739	13
163	743	9
164	748	4
165	753	0
